# content: woodwell rts polygon coordinates
# date: Nov 2021
# region: yamal and gydan
# description:'yes' category only, active regions only
# Version=1.0
Long,Lat
68.38716337,69.96710548
68.33613371,69.96529284
68.36530019,69.97223986
68.50831126,69.98937225
68.34169279,69.9587747
80.83449613,71.44033836
80.8377539,71.44085086
80.83508614,71.43418623
80.86932048,71.27089194
80.87023404,71.26984063
80.9816239,71.24874386
80.87004351,71.23011133
81.19390121,71.17109673
81.21995226,71.16943914
81.2152965,71.16701504
81.21148729,71.16002523
81.21267439,71.15973668
67.77969066,69.77488767
67.81285058,69.78424435
67.87084211,69.82737606
67.59047957,70.14155898
68.48211215,69.62720608
68.3706338,70.06975637
68.37320408,70.06978954
68.45417529,70.08204262
68.45199961,70.08166449
68.43368339,69.90976056
68.22527259,69.97537071
68.44208643,69.62846053
68.44571459,69.62784666
68.3330456,69.95265231
68.33530778,69.95422554
68.29007436,69.922936
68.34091838,70.01526355
68.33989207,70.016772
68.34051304,70.01566056
80.45625422,71.369397
80.53297105,71.35188533
80.53276118,71.35114668
80.544806,71.33195602
80.51538497,71.27023879
80.68313797,71.24116782
66.83117404,67.05573146
80.63196493,71.25034743
67.58550938,70.16492204
67.21439451,67.98192009
80.51204086,71.35565845
66.82162155,66.86351412
66.82193767,66.86414555
67.57838132,70.13094671
80.50295637,71.35867653
67.58854849,70.12395724
67.5867625,70.12362026
67.795421,70.06281495
67.81004114,69.95536321
68.29648957,69.90311806
68.29639399,69.90286097
68.39600387,69.63927368
68.76924722,69.72158611
68.78748478,69.72288749
68.7857044,69.72344031
78.05608844,70.51543168
77.87761495,70.24627811
78.19772407,70.2950132
68.33411176,69.9546992
68.33784205,69.95227254
68.41832619,69.63033044
68.4052391,69.63423769
68.41578427,69.63394785
68.49149848,69.63342809
68.41694828,69.64682021
68.41568486,69.64864666
68.39057481,69.63995513
68.41200041,69.63778098
68.37555939,69.69578496
67.88275675,69.63269683
68.51026606,69.84692861
68.5072703,69.84639254
68.36449134,70.01709122
68.36499015,70.01806048
68.15436908,70.07298334
67.92772525,70.20989085
67.93057065,70.20926485
67.93285442,70.20885314
67.94119634,70.20794743
67.98254809,70.22705173
68.52112831,70.12717917
68.52019282,70.13382521
68.36639789,70.14378951
67.89099454,70.20886771
68.88968644,69.68440104
68.9420009,69.72030673
68.59807806,69.75381235
68.56267069,70.08914301
68.55813671,70.09413016
68.14277199,70.1938992
75.08940013,71.07165028
75.08722706,71.07264245
79.24991293,71.1874631
79.24749686,71.18804791
79.21498259,71.20410621
79.14126844,71.37504676
79.07692819,71.40517522
79.10003855,71.41773168
79.09490284,71.41595473
79.09405366,71.41643791
79.34328403,71.43453798
67.77263157,69.62166313
71.16876497,68.92054042
68.34542866,70.07692837
67.81467268,69.99020725
67.88059917,70.07271013
67.78528275,70.06731605
67.79007813,70.11368741
67.71486417,70.11400761
67.62432272,70.15626767
68.44037757,70.11340309
78.01637613,70.18662979
77.97692332,70.18638645
77.975399,70.18452941
77.92068542,70.17318371
77.90800448,70.15938527
77.90503393,70.14569535
77.90578415,70.14364089
77.80084926,70.11382732
77.77456086,70.10800502
77.86151851,70.18376652
77.86681249,70.18566241
77.8955176,70.19763411
77.88431743,70.19639143
77.88294487,70.19859996
77.88423739,70.19924994
77.88741771,70.19956486
77.71405257,70.19248606
77.65427412,70.14574629
77.51295452,70.19638371
77.35957408,70.19694751
77.29744104,70.20389876
77.35210642,70.14812074
77.82559411,70.1587031
77.81950411,70.15878008
77.8180021,70.15554972
77.79622248,70.13875074
77.79924388,70.13962624
77.80178453,70.14095166
77.80422882,70.14114304
77.97420515,70.19649645
78.02147763,70.19126169
78.05300871,70.18001562
78.05296765,70.18029164
78.05720755,70.18676536
77.95936757,70.23137717
77.95903891,70.23577763
77.94604358,70.23474662
77.94953898,70.23452965
77.94953898,70.23452965
78.02925866,70.2453211
77.93536462,70.28067513
78.00928706,70.28413719
78.17021571,70.312291
78.1819213,70.30801453
78.15671135,70.3188461
78.28217894,70.32557049
77.84764499,70.21859606
77.84100415,70.21894459
77.85858182,70.24350871
77.9064167,70.24939094
77.97871373,70.25519117
78.03804882,70.27353819
77.93826603,70.23487475
76.41012599,69.70141946
76.34562675,69.73503286
76.35061836,69.73553472
76.36156848,69.74463778
76.36063151,69.74425881
76.16837818,69.75408233
76.11662552,69.77323948
76.31277907,69.77811624
76.46129343,69.7671983
76.31179662,69.8061286
76.23675196,69.82799359
76.1138238,69.83713133
76.30379886,69.85499485
76.29447804,69.86783847
76.19991968,69.87196255
76.14168772,69.88811307
76.11479077,69.87726652
70.1837194,69.20121152
70.18654893,69.19959938
70.25541574,69.22441448
70.24632725,69.22070678
70.23331127,69.22494746
75.05346726,70.97463672
78.15726107,70.30602315
78.16969488,70.30868958
78.36808238,70.32392865
78.38864176,70.29248319
78.04851951,70.1787466
78.15190743,70.18997442
78.3078667,70.20509369
78.30908711,70.20431339
78.30877757,70.20261333
78.3093519,70.20228512
78.30897482,70.20387829
78.30925836,70.20363017
78.35590625,70.17166319
78.32304458,70.18338265
68.49203408,69.87070922
67.97964161,69.80070967
68.06769058,69.81394328
79.55265177,71.33662675
79.51819001,71.34268375
79.52617629,71.34211069
79.35077042,71.34968234
79.14232478,71.37444775
79.08654862,71.42868842
79.1633038,71.43950413
79.19790632,71.43120292
79.23116148,71.43788492
79.17540848,71.3643276
79.2544133,71.14595518
79.27752107,71.18801727
79.24044377,71.19024363
79.31088326,71.21764129
79.19530382,71.2769791
77.83288901,70.07333965
77.83589722,70.07282628
77.83669849,70.07258162
