Long,Lat,tier
68.38715672,69.96713902,2
68.38769478,69.96667661,2
68.33612794,69.96530242,2
68.36530019,69.97223986,1
68.50841765,69.98938188,1
68.34169279,69.9587747,1
80.83449613,71.44033836,1
80.8377539,71.44085086,1
80.83508614,71.43418623,1
80.86927727,71.27089768,2
80.9816239,71.24874386,1
80.98028128,71.24885656,1
80.87004351,71.23011133,1
81.19384205,71.17109107,1
81.210446,71.1696149,1
81.21159078,71.16004239,3
81.21285056,71.1597609,3
68.48211489,69.62724175,1
68.37055251,70.06971908,1
68.43368339,69.90976056,2
68.5268526,69.84930576,1
68.44207144,69.62846782,1
68.44569327,69.62785868,1
68.33314249,69.95260892,1
68.29001872,69.92293864,3
68.3409779,70.01525566,1
68.33915003,70.01667578,1
68.34061376,70.01564218,1
80.68313797,71.24116782,2
80.51202034,71.35563961,1
67.81004114,69.95536321,1
68.29645132,69.90309589,2
68.29681123,69.90275975,2
68.39604485,69.63925933,2
68.76878826,69.72156255,3
68.78734643,69.72298652,3
68.7858675,69.72350218,3
78.05631273,70.51548742,2
77.87740898,70.24633703,1
78.19775179,70.2950507,2
68.33795225,69.95227244,2
68.41832196,69.63035627,3
68.40527811,69.63423738,2
68.41579685,69.63391919,1
68.49148078,69.63342226,3
68.41689234,69.64679925,2
68.41568829,69.64862534,2
68.39063058,69.63997288,1
68.40300205,69.63428109,2
68.3755151,69.69570651,3
68.51031581,69.84693384,1
68.50733143,69.84638819,1
68.36446501,70.01706005,3
68.36548316,70.01704129,3
67.92755783,70.20986913,2
67.93081205,70.20927369,2
67.93280861,70.20885286,2
67.98254809,70.22705173,1
68.88968644,69.68440104,3
68.9406182,69.72004867,1
68.59807806,69.75381235,3
68.562792,70.08904954,2
75.08940013,71.07165028,2
75.08774867,71.072651,2
79.24991293,71.1874631,1
79.21498259,71.20410621,1
79.14126844,71.37504676,1
79.07692819,71.40517522,1
79.10003855,71.41773168,2
79.09490284,71.41595473,2
79.09405366,71.41643791,1
79.34328403,71.43453798,1
67.77263157,69.62166313,1
68.34524258,70.07696015,2
67.62432272,70.15626767,1
68.44037757,70.11340309,1
78.01632728,70.1866053,3
77.90796431,70.15934611,2
77.90499564,70.14570215,3
77.90574586,70.14364769,3
77.77456086,70.10800502,1
77.86115973,70.18371163,2
77.86681249,70.18566241,2
77.88223152,70.19684188,1
77.8844565,70.19642571,1
77.88961599,70.19865169,2
77.88294487,70.19859996,2
77.88423739,70.19924994,2
77.88706259,70.19957007,2
77.71397263,70.19246565,3
77.51289128,70.19631598,1
77.35945993,70.19691897,2
77.81957778,70.15878217,3
77.79622248,70.13875074,1
77.79917955,70.13961181,1
77.80402906,70.14111595,2
77.97412581,70.19669319,1
78.05300871,70.18001562,3
78.05296765,70.18029164,3
78.05681241,70.18701635,1
77.95912216,70.23137471,2
77.95903891,70.23577763,3
77.94604358,70.23474662,1
77.94925191,70.23450203,1
77.94997729,70.23464383,2
78.02925866,70.2453211,2
77.93536462,70.28067513,1
78.00928706,70.28413719,1
78.17023338,70.31227364,3
78.18202397,70.30806823,1
78.28218677,70.32550513,2
77.84764499,70.21859606,2
77.84073715,70.21887461,2
77.85858182,70.24350871,1
77.90649166,70.24944756,3
77.97867918,70.25520941,3
77.98233317,70.25663375,2
78.03804882,70.27353819,2
77.94310064,70.23480346,1
77.93826603,70.23487475,1
76.41025323,69.7014173,2
76.34562675,69.73503286,3
76.35061836,69.73553472,3
76.46129343,69.7671983,2
76.31180319,69.80613386,2
76.1136035,69.83708972,1
76.30382752,69.85493525,3
76.29447804,69.86783847,1
76.19991968,69.87196255,3
76.14168772,69.88811307,3
76.11477632,69.87723341,2
70.1837194,69.20121152,1
70.18654893,69.19959938,1
70.2463123,69.22068922,2
78.15726107,70.30602315,3
78.16972767,70.30872208,3
78.36802715,70.32393106,2
78.38864176,70.29248319,1
78.04856079,70.17873322,3
78.3078667,70.20509369,3
78.30908711,70.20431339,3
78.30877757,70.20261333,3
78.3093519,70.20228512,3
78.30909211,70.20358475,3
68.4920799,69.87072498,3
79.55275566,71.33661682,3
79.35077042,71.34968234,1
79.14232478,71.37444775,1
79.08656819,71.42868444,2
79.1633038,71.43950413,2
79.19790632,71.43120292,1
79.23116148,71.43788492,1
79.24043755,71.19023106,1
79.1952807,71.27697847,2
78.03095869,70.20206371,3
68.39958211,69.64403573,3
68.40114267,69.6430709,3
68.39190116,69.64768717,3
76.56131852,69.85419712,3
76.55684654,69.85649696,2
76.41445787,69.86666756,2
78.04878531,70.25866217,3
77.95139523,70.24831599,2
77.95168968,70.24864889,2
77.95258455,70.24879688,2
77.95289651,70.2490511,2
77.86932152,70.24559543,1
68.68050945,69.71388282,2
68.5929492,69.7457192,3
68.37778303,69.70933527,3
68.77318639,70.16012931,3
68.63538627,70.15137844,1
68.95652107,70.083068,3
68.73807892,69.96264596,1
68.76885782,69.91002922,2
68.70005002,70.16298581,3
68.45275272,69.62714853,1
68.45394041,69.62579148,1
