# content: woodwell rts polygon coordinates
# date: Feb 2022
# region: yamal and gydan
# description:'yes' category only, active regions only
# Number of labels: 262
# Version=3.0
Long,Lat
68.38716337,69.96710548
68.33612794,69.96530242
68.50831126,69.98937225
68.34169279,69.9587747
80.83449613,71.44033836
80.8377539,71.44085086
80.83508614,71.43418623
80.86927727,71.27089768
80.87012072,71.26979292
81.19390121,71.17109673
81.21285056,71.1597609
67.77969066,69.77488767
67.81285058,69.78424435
67.87084211,69.82737606
67.59047957,70.14155898
68.48211489,69.62724175
68.43368339,69.90976056
68.44207144,69.62846782
68.44569327,69.62785868
68.33314249,69.95260892
68.33530778,69.95422554
68.29001872,69.92293864
68.3409779,70.01525566
68.33915003,70.01667578
80.45625422,71.369397
80.68313797,71.24116782
66.83117404,67.05573146
67.58550938,70.16492204
67.21439451,67.98192009
80.51204086,71.35565845
66.82193767,66.86414555
67.57838132,70.13094671
67.58854849,70.12395724
67.5867625,70.12362026
67.795421,70.06281495
67.81004114,69.95536321
68.29645132,69.90309589
68.29646114,69.90281732
68.39604485,69.63925933
77.87740898,70.24633703
78.19775179,70.2950507
68.33413983,69.95471717
68.41832196,69.63035627
68.40527811,69.63423738
68.41579685,69.63391919
68.49148078,69.63342226
68.41689234,69.64679925
68.41568486,69.64864666
68.39063058,69.63997288
68.41200041,69.63778098
68.37555439,69.69575541
67.88275675,69.63269683
68.51031581,69.84693384
68.50733143,69.84638819
68.36446501,70.01706005
68.15436908,70.07298334
67.92755783,70.20986913
67.93057065,70.20926485
67.93285442,70.20885314
67.94119634,70.20794743
67.98254809,70.22705173
68.59807806,69.75381235
79.24991293,71.1874631
79.21498259,71.20410621
79.14126844,71.37504676
79.07692819,71.40517522
79.10003855,71.41773168
79.09490284,71.41595473
79.09405366,71.41643791
79.34328403,71.43453798
71.16863474,68.92049375
68.34524258,70.07696015
67.81467268,69.99020725
67.78528275,70.06731605
67.79007813,70.11368741
67.71486417,70.11400761
67.62432272,70.15626767
68.44037757,70.11340309
78.01632728,70.1866053
77.97692332,70.18638645
77.90796431,70.15934611
77.90503393,70.14569535
77.90578415,70.14364089
77.80084926,70.11382732
77.77456086,70.10800502
77.86115973,70.18371163
77.86681249,70.18566241
77.8955176,70.19763411
77.88431743,70.19639143
77.88294487,70.19859996
77.71397263,70.19246565
77.65428324,70.14571397
77.51295452,70.19638371
77.35945993,70.19691897
77.29692579,70.20391021
77.35210642,70.14812074
77.82559411,70.1587031
77.81945307,70.15878095
77.8180021,70.15554972
77.79622248,70.13875074
77.79917955,70.13961181
77.80178453,70.14095166
77.80422882,70.14114304
77.97420515,70.19649645
78.02147763,70.19126169
78.05300871,70.18001562
78.05296765,70.18029164
78.05681241,70.18701635
77.95915926,70.23141598
77.95903891,70.23577763
77.94604358,70.23474662
77.94997729,70.23464383
78.02925866,70.2453211
77.93536462,70.28067513
78.00928706,70.28413719
78.17023338,70.31227364
78.18202397,70.30806823
78.1567156,70.31882295
78.28218677,70.32550513
77.84764499,70.21859606
77.84073715,70.21887461
77.85858182,70.24350871
77.9064167,70.24939094
77.97867918,70.25520941
78.03804882,70.27353819
77.93826603,70.23487475
76.41012599,69.70141946
76.34562675,69.73503286
76.35061836,69.73553472
76.36156848,69.74463778
76.36064033,69.74425722
76.31274834,69.77809226
76.46129343,69.7671983
76.31179662,69.8061286
76.1136035,69.83708972
76.30381363,69.85495903
76.29447804,69.86783847
76.19991968,69.87196255
76.14168772,69.88811307
76.11477632,69.87723341
70.1837194,69.20121152
70.18654893,69.19959938
70.25541574,69.22441448
70.2463123,69.22068922
70.23331127,69.22494746
75.05321567,70.97459587
78.15726107,70.30602315
78.16972767,70.30872208
78.36802715,70.32393106
78.38864176,70.29248319
78.04851951,70.1787466
78.15190743,70.18997442
78.3078667,70.20509369
78.30908711,70.20431339
78.30877757,70.20261333
78.3093519,70.20228512
78.30897482,70.20387829
78.30925836,70.20363017
78.35590625,70.17166319
78.32304458,70.18338265
68.4920799,69.87072498
67.97964161,69.80070967
68.06769058,69.81394328
79.55265177,71.33662675
79.35077042,71.34968234
79.14232478,71.37444775
79.08656819,71.42868444
79.1633038,71.43950413
79.19790632,71.43120292
79.23116148,71.43788492
79.17540848,71.3643276
79.2544133,71.14595518
79.27752107,71.18801727
79.24043755,71.19023106
79.31088326,71.21764129
79.1952807,71.27697847
77.83288901,70.07333965
77.83589722,70.07282628
77.83669849,70.07258162
77.80187153,70.09419544
78.03095869,70.20206371
68.39958211,69.64403573
68.4011347,69.64307227
68.39190116,69.64768717
68.24355866,69.66618913
68.05636104,69.60921985
67.97942602,69.67783786
67.97014909,69.70588993
76.56131852,69.85419712
76.55684654,69.85649696
76.41445787,69.86666756
78.04878531,70.25866217
77.95139523,70.24831599
77.95168968,70.24864889
77.95258455,70.24879688
77.95289651,70.2490511
77.86932152,70.24559543
68.68050945,69.71388282
68.37778303,69.70933527
68.77318639,70.16012931
68.75329767,70.15786286
68.63538627,70.15137844
68.95652107,70.083068
68.73807892,69.96264596
68.76885782,69.91002922
68.69909483,70.16426047
68.70005002,70.16298581
68.75278394,70.15832271
68.45275272,69.62714853
68.45394041,69.62579148
68.44670342,69.62715727
68.5669044,70.08980787
76.67263576,69.86572995
76.59254612,69.86726972
77.75063365,70.20261368
68.53440889,70.16422192
68.52349302,70.12901097
68.3715575,70.06868892
68.42097359,70.03669976
68.62646554,70.01102861
68.41301365,70.00529451
68.28553067,70.00733738
68.28603931,70.00699251
68.38730061,69.94289855
68.33434957,69.94128623
68.47830623,69.91249957
77.88545862,70.31274506
