# content: woodwell rts polygon coordinates,,,,,
# date: Mar 2022,,,,,
# region: yamal and gydan,,,,,
# description: 262active + 73general,,,,,
# Added tier/question/index column. Tier is for data quality classification. 1-best, 3-worst
# Number of labels: 335,,,,,
# Version=4.0,,,,,
Long,Lat,type,tier,question,index
76.1136035,69.83708972,Active,1,,135
76.30381363,69.85495903,Active,3,,136
76.29447804,69.86783847,Active,2,,137
76.19991968,69.87196255,Active,2,,138
76.14168772,69.88811307,Active,3,,139
76.11477632,69.87723341,Active,2,,140
70.1837194,69.20121152,Active,1,,141
70.18654893,69.19959938,Active,1,,142
70.25541574,69.22441448,Active,1,,143
70.2463123,69.22068922,Active,2,,144
70.23331127,69.22494746,Active,2,,145
75.05321567,70.97459587,Active,1,,146
78.15726107,70.30602315,Active,2,,147
78.16972767,70.30872208,Active,3,,148
78.36802715,70.32393106,Active,1,,149
78.38864176,70.29248319,Active,1,,150
78.04851951,70.1787466,Active,3,,151
78.15190743,70.18997442,Active,3,,152
78.3078667,70.20509369,Active,3,,153
78.30908711,70.20431339,Active,3,,154
78.30877757,70.20261333,Active,3,,155
78.3093519,70.20228512,Active,3,,156
78.30897482,70.20387829,Active,3,,157
78.30925836,70.20363017,Active,3,,158
78.35590625,70.17166319,Active,3,,159
78.32304458,70.18338265,Active,3,,160
68.4920799,69.87072498,Active,3,,161
67.97964161,69.80070967,Active,3,,162
68.06769058,69.81394328,Active,3,,163
79.55265177,71.33662675,Active,3,,164
79.35077042,71.34968234,Active,1,,165
79.14232478,71.37444775,Active,1,,166
79.08656819,71.42868444,Active,2,,167
79.1633038,71.43950413,Active,2,,168
79.19790632,71.43120292,Active,1,,169
79.23116148,71.43788492,Active,2,,170
79.17540848,71.3643276,Active,2,,171
79.2544133,71.14595518,Active,3,,172
79.27752107,71.18801727,Active,2,,173
79.24043755,71.19023106,Active,3,,174
79.31088326,71.21764129,Active,1,,175
79.1952807,71.27697847,Active,2,,176
77.83288901,70.07333965,Active,2,,177
77.83589722,70.07282628,Active,2,,178
77.83669849,70.07258162,Active,2,,179
77.80187153,70.09419544,Active,2,,180
78.03095869,70.20206371,Active,3,,181
68.39958211,69.64403573,Active,3,,182
68.4011347,69.64307227,Active,3,,183
68.39190116,69.64768717,Active,3,,184
68.24355866,69.66618913,Active,3,,185
68.05636104,69.60921985,Active,3,,186
67.97942602,69.67783786,Active,2,,187
67.97014909,69.70588993,Active,3,,188
76.56131852,69.85419712,Active,2,,189
76.55684654,69.85649696,Active,1,,190
76.41445787,69.86666756,Active,2,,191
78.04878531,70.25866217,Active,3,,192
77.95139523,70.24831599,Active,3,,193
77.95168968,70.24864889,Active,3,,194
77.95258455,70.24879688,Active,3,,195
77.95289651,70.2490511,Active,3,,196
77.86932152,70.24559543,Active,3,,197
68.68050945,69.71388282,Active,2,,198
68.37778303,69.70933527,Active,3,,199
68.77318639,70.16012931,Active,2,,200
68.75329767,70.15786286,Active,3,,201
68.63538627,70.15137844,Active,1,,202
68.95652107,70.083068,Active,2,,203
68.73807892,69.96264596,Active,1,,204
68.76885782,69.91002922,Active,2,,205
68.69909483,70.16426047,Active,3,,206
68.70005002,70.16298581,Active,3,,207
68.75278394,70.15832271,Active,3,,208
68.45275272,69.62714853,Active,1,,209
68.45394041,69.62579148,Active,1,,210
68.44670342,69.62715727,Active,1,,211
68.5669044,70.08980787,Active,2,,212
76.67263576,69.86572995,Active,2,,213
76.59254612,69.86726972,Active,1,,214
77.75063365,70.20261368,Active,1,1,215
68.53440889,70.16422192,Active,3,,216
68.52349302,70.12901097,Active,2,,217
68.3715575,70.06868892,Active,2,,218
68.42097359,70.03669976,Active,1,,219
68.62646554,70.01102861,Active,3,,220
68.41301365,70.00529451,Active,2,,221
