Long,Lat
68.40607868,69.973415
68.40958833,69.97274286
68.47297739,69.98210443
68.33874361,70.00690962
68.30473078,70.02810014
68.32082341,70.22725935
68.27554091,70.22711872
68.28502527,70.22719798
68.65324186,69.95612953
67.86386873,70.03799786
67.93198868,70.03074096
68.27037429,69.92085968
67.93006102,69.98819883
67.56914597,70.14481672
68.57046092,69.95329938
68.6934605,69.95591202
68.86806514,70.02791828
69.96255855,70.31362151
69.87002583,70.35872523
69.8542919,70.35253734
67.80577043,70.32237301
67.73167607,70.34574844
68.49974667,70.32045417
68.82812417,70.12792366
69.62574795,69.20165646
68.53809716,69.01922368
68.5042542,69.00166279
68.64135529,68.99674486
68.71792769,68.98727654
68.88860709,68.96773159
68.93877385,68.99781485
68.46275833,69.80269003
68.48110452,69.81194193
68.4887338,69.79193008
67.85598193,69.83510486
67.87157143,69.8341072
67.93644598,69.83423089
67.94419163,69.84828092
67.7665201,69.82084607
67.79209418,69.8012072
67.78444087,69.80096585
67.80245784,69.7993729
67.82269317,69.78860308
68.37961961,69.70800462
68.44771184,69.68974827
79.20161121,71.21509993
79.09440254,71.24071661
79.40885354,71.36418347
77.90555847,70.41679792
77.84050732,70.41388772
77.89402551,70.43994988
77.80651656,70.43761331
77.77500845,70.4437854
77.68836535,70.41440404
77.70541226,70.39167089
77.68732707,70.36987659
77.65291495,70.37082946
77.63800486,70.3726752
77.62707273,70.37810077
77.60855582,70.37561683
77.62307069,70.38669259
77.58792288,70.39146327
77.57726017,70.39870427
77.56472492,70.39290476
77.55060045,70.39888943
77.51625566,70.39481279
77.48751331,70.38506356
77.48353968,70.37909336
77.44449747,70.36920216
77.43062397,70.36326401
77.41471605,70.36247698
77.40637968,70.35804151
77.39183343,70.3633452
77.37475812,70.35485742
77.37429962,70.34321378
77.37382712,70.32938808
77.38604302,70.32488853
77.40001655,70.31876028
77.4004918,70.31370873
77.38371186,70.30227318
77.37844351,70.30088653
77.37560177,70.29596989
77.36778581,70.30875939
77.33475746,70.29656404
77.3294952,70.31908767
77.33656906,70.32270181
77.2845977,70.32319191
77.25686786,70.32436437
77.25041788,70.32837874
77.23001065,70.32616359
77.23279998,70.32272499
77.22260261,70.31972122
77.19005511,70.31372463
77.17563396,70.31232929
77.33725719,70.14588046
77.34389299,70.15366206
77.33406518,70.16185496
77.3467714,70.1586273
77.3232352,70.15659793
77.30857222,70.16533005
77.27192097,70.17362447
77.29889978,70.15621149
77.28219266,70.16014622
77.2580521,70.16192434
77.24802302,70.1620708
77.23909989,70.15639527
77.22325591,70.14650725
77.21529822,70.12816766
77.19639538,70.14233952
77.15568001,70.13555653
77.11007902,70.12693017
77.13327722,70.11657204
77.15794896,70.11474415
77.14726202,70.09747436
77.17342295,70.0912717
77.18924476,70.11299615
77.14660788,70.1552575
77.12538093,70.14632961
77.20832106,70.16330811
77.15306428,70.1672396
77.54539233,70.17117799
77.52495431,70.17742575
77.54367159,70.17892333
77.52722011,70.2025951
77.50309998,70.18899495
77.48806823,70.18280004
77.47116029,70.17188912
77.42931043,70.18140224
77.54006858,70.20698388
68.98011595,70.22682939
68.99287398,70.24528285
68.32249937,69.96891257
68.34705985,69.9638257
68.29726736,69.94801417
68.38684038,69.94893696
68.18898163,69.95837686
